 Acronym,Name,Link,Location,Submission deadline,Start date,Topics,Area
CIIA 2018,Congreso Internacional de Ingeniería Agroindustrial,https://easychair.org/cfp/ciia2018,"Alajuela, Costa Rica",20-Aug-18,22-Oct-18,"[u'ingenier\xeda en procesos alimentarios', u'biotecnolog\xeda y aprovechamiento de subproductos', u'agroindustria y agro producci\xf3n', 'productos funcionales y valor agregado']",Engineering
ICARSC 2018,18th IEEE International Conference on Autonomous Robot Systems and Competitions,https://easychair.org/cfp/ICARSC2018,"Torres Vedras, Portugal",4-Feb-18,25-Apr-18,"['robotics', 'artificial intelligence', 'robotics competitions and challenges', 'autonomous systems']",Engineering
HiPINEB 2018,The 4th IEEE International Workshop on High-Performance Interconnection Networks in the Exascale and Big-Data Era,https://easychair.org/cfp/HiPINEB2018,"Vienna, Austria",8-Jan-18,24-Feb-18,"['interconnect architectures and network technologies', 'scalable network topologies', 'power saving in the interconnect', 'network communication protocols']",Engineering
SRC '18,"Students' Research Convention, 2018",https://easychair.org/cfp/SRC-18,"Kanpur, India",10-Feb-18,9-Mar-18,"['science', 'technology', 'social science', 'management']",Engineering
PATMOS2018,"28th International Symposium on Power and Timing Modeling, Optimization and Simulation",https://easychair.org/cfp/patmos2018,"Platja D'Aro, Spain",11-Mar-18,2-Jul-18,"['power analysis and optimization', 'timing and performance of ics', 'ultra low power for iot', 'neuro inspired reconfigurable accelerators']",Engineering
APCORISE 2018,The 1st Asia Pacific Conference on Research in Industrial and Systems Engineering 2018,https://easychair.org/cfp/apcorise_2018,"Depok, Indonesia",28-Jan-18,18-Apr-18,"['systems engineering', 'industrial engineering', 'production systems and logistics', 'ergonomics and innovation']",Engineering
IAPRI 2018,21st IAPRI World Conference on Packaging,https://easychair.org/cfp/IAPRI-2018,"Zhuhai, China",15-Jan-18,19-Jun-18,[],Engineering
DYCOSS2018,4rd IAA Conference on Dynamics and Control of Space Systems,https://easychair.org/cfp/dycoss_2018,"Changsha, China",7-May-18,21-May-18,"['space system', 'spacecraft guidance navigation and control', 'attitude dynamics and control', 'orbital dynamics and determination']",Engineering
ICRA'18 LTAW,ICRA 2018 Workshop on Long-term autonomy and deployment of intelligent robots in the real-world,https://easychair.org/cfp/ICRA18-LTAW,"Brisbane, Australia",19-Mar-18,21-May-18,[],Engineering
ICRAIE-2018,3rd International Conference and Workshops  on Recent Advances and Innovations in Engineering,https://easychair.org/cfp/icraie-2018,"Jaipur, India",31-May-18,22-Nov-18,"['electrical engineering', 'computer engineering / information technology', 'electronics and communication engineering']",Engineering
BFAL 2018,Brain Function Assessment in Learning,https://easychair.org/cfp/BFAL2018,"Montreal, Canada",28-Feb-18,11-Jun-18,"['artificial intelligence', 'health', 'education', 'neuroscience']",Engineering
PRO-VE 2018,19th IFIP Working Conference on Virtual Enterprises,https://easychair.org/cfp/PRO-VE2018,"Cardiff, UK",1-Apr-18,17-Sep-18,"['computer science', 'information systems', 'engineering', 'business']",Engineering
NVC2018,"6th International Conference on Noise, Vibration and Comfort",https://easychair.org/cfp/NVC2018,"Putrajaya, Malaysia",31-Dec-17,6-Mar-18,"['acoustic', 'vibration', 'comfort', 'health']",Engineering
