Conference Name,Conference Series,Link,Categories,When,Where,Submission Deadline,Notification Due,Final Version Due,Abstract Registration Due
 HONET  2010 : High Capacity Optical Networks and Enabling Technologies,N/A,http://honet-ict.org,"['communications', 'networking']","Dec 19, 2010 - Dec 21, 2010","Cairo, Egypt","Jul 31, 2010","Sep 20, 2010","Oct 20, 2010",
 BRC  2011 : ISSNIP Biosignals and Biorobotics Conference: Biosignals and Robotics for Better and Safer Living,N/A,http://www.brc2011.org,"['robotics', 'BIOSIGNALS', 'biorobotics', 'BIOSIGNALS']","Jan 6, 2011 - Jan 8, 2011","Vitoria, Brazil","Jul 15, 2010","Sep 15, 2010","Oct 15, 2010",
 ICINIS  2010 : 3rd International Conference on Intelligent Networks and Intelligent Systems,N/A,http://www.inass.org/index.asp,"['networks', 'intelligent systems']","Nov 1, 2010 - Nov 3, 2010","Shenyang, China",TBD,,,
 ICMTMA  2011 : The 3nd International Conference on Measuring Technology and Mechatronics Automation,N/A,http://www.icmtma-2010.org,"['measuring technology', 'mechatronics']","Jan 6, 2011 - Jan 7, 2011","Shanghai, China","Aug 5, 2010","Aug 30, 2010","Sep 15, 2010",
 ICMBD  2011 : International Conference on Multi Body Dynamics,N/A,http://www.icmbd.in,"['vibrations', 'mechanical engineering', 'robotics', 'mechanics']","Feb 24, 2011 - Feb 26, 2011","Vijayawada, INDIA","Aug 15, 2010","Sep 30, 2010","Oct 30, 2010","Dec 31, 2010"
 Wi-UAV  2010 : Globecom Workshop on Wireless Networking for Unmanned Aerial Vehicles ,N/A,http://www.wi-uav.org,"['wireless sensor networks', 'unmanned aerial vehicles', 'mesh networks', 'sensor networks']","Dec 6, 2010 - Dec 6, 2010","Miami, Florida, USA","Jul 2, 2010","Aug 13, 2010","Aug 31, 2010",
 OpenMath  2010 : 23rd OpenMath Workshop 2010,N/A,http://cicm2010.cnam.fr/om/,"['mathematics', 'semantic web', 'knowledge representation', 'symbolic computation']","Jul 8, 2010 - Jul 8, 2010","Paris, France","Jun 18, 2010","Jun 25, 2010","Jul 2, 2010",
" MJEE  2011 : Special Issue on Cognitive Information Processing, March 2011",N/A,http://www.mjee.org,"['cognitive information', 'signal processing', 'wireless communication', 'information theoric learning']",N/A,N/A,"Aug 30, 2010","Oct 30, 2010","Jan 15, 2011",
 AVoCS  2010 : Automated Verification of Critical Systems,N/A,http://www.formal-methods.de/avocs10/cfp.html,['formal verification'],"Sep 20, 2010 - Sep 23, 2010",dusseldorf,"Jun 14, 2010","Jul 21, 2010",,
" ICST  2011 : International Conference on Software Testing, Validation and Verification","International Conference on Software Testing, Verification, and Validation",http://sites.google.com/site/icst2011/call-for-papers,"['software verification', 'formal verification', 'testing']","Mar 21, 2011 - Mar 25, 2011",Berlin,"Oct 1, 2010",,,"Sep 25, 2010"
